date,high,low,open,close,adjust,volume,symbol
23-09-13,10.8,10.3,10.3,10.8,9.25,452330,VIS
24-09-13,10.9,10.6,10.6,10.6,9.08,621250,VIS
25-09-13,11.3,10.6,10.7,11.1,9.51,1851760,VIS
26-09-13,11.3,10.9,11.1,11.3,9.68,733920,VIS
27-09-13,11.3,10.9,11.3,10.9,9.34,1057150,VIS
30-09-13,11.2,10.9,10.9,11.1,9.51,1314330,VIS
01-10-13,11.7,11.2,11.2,11.4,9.77,2217470,VIS
02-10-13,11.6,11.3,11.4,11.3,9.68,1131010,VIS
03-10-13,11.4,11.1,11.3,11.2,9.6,792420,VIS
04-10-13,11.2,10.9,11,11.2,9.6,995500,VIS
07-10-13,11.4,11.1,11.4,11.1,9.51,958310,VIS
08-10-13,11.1,10.8,11.1,10.9,9.34,1097690,VIS
09-10-13,11.1,10.8,11,10.9,9.34,567840,VIS
10-10-13,11,10.6,11,10.6,9.08,660350,VIS
11-10-13,10.7,10.4,10.6,10.5,9,578480,VIS
14-10-13,10.5,10.2,10.5,10.2,8.74,499730,VIS
15-10-13,10.5,10.1,10.1,10.5,9,698680,VIS
16-10-13,10.5,10.1,10.4,10.3,8.83,1851770,VIS
17-10-13,10.7,10.1,10.3,10.4,8.91,1745990,VIS
18-10-13,10.5,10.2,10.3,10.2,8.74,758650,VIS
21-10-13,10.4,10,10.3,10.2,8.74,1583280,VIS
22-10-13,10.2,9.8,10.1,9.9,8.48,1323190,VIS
23-10-13,10.1,9.9,9.9,9.9,8.48,759800,VIS
24-10-13,10,9.7,9.9,9.8,8.4,682480,VIS
25-10-13,9.9,9.7,9.8,9.9,8.48,581020,VIS
28-10-13,10,9.7,9.9,9.7,8.31,280690,VIS
29-10-13,9.8,9.6,9.7,9.7,8.31,240670,VIS
30-10-13,9.8,9.7,9.8,9.7,8.31,146970,VIS
31-10-13,9.7,9.5,9.7,9.5,8.14,238920,VIS
01-11-13,10.1,9.5,9.5,10.1,8.66,1260310,VIS
04-11-13,10.6,10.1,10.1,10.4,8.91,1187070,VIS
05-11-13,10.5,10.2,10.4,10.4,8.91,611680,VIS
06-11-13,11.1,10.3,10.4,11.1,9.51,2362910,VIS
07-11-13,11.7,11,11,11.2,9.6,1838300,VIS
08-11-13,11.5,11.1,11.2,11.3,9.68,866370,VIS
11-11-13,11.6,11.1,11.2,11.5,9.85,920590,VIS
12-11-13,11.4,11,11.4,11.1,9.51,1137100,VIS
13-11-13,11.1,10.9,10.9,10.9,9.34,475010,VIS
14-11-13,11.2,10.9,10.9,11.2,9.6,534990,VIS
15-11-13,11.4,11,11.1,11.3,9.68,554260,VIS
18-11-13,12,11.3,11.3,11.7,10.03,1913160,VIS
19-11-13,11.9,11.6,11.8,11.7,10.03,475160,VIS
20-11-13,11.9,11.6,11.7,11.8,10.11,445350,VIS
21-11-13,12.3,11.7,11.9,11.8,10.11,1790030,VIS
22-11-13,11.8,11.6,11.8,11.7,10.03,689350,VIS
25-11-13,11.8,11.5,11.8,11.6,9.94,518810,VIS
26-11-13,11.6,11.4,11.5,11.5,9.85,411660,VIS
27-11-13,11.8,11.4,11.7,11.5,9.85,431700,VIS
28-11-13,11.6,11.4,11.5,11.5,9.85,370260,VIS
29-11-13,11.6,11.4,11.5,11.6,9.94,191670,VIS
02-12-13,11.6,11.4,11.6,11.6,9.94,232130,VIS
03-12-13,12.2,11.5,11.6,11.8,10.11,1248150,VIS
04-12-13,12.4,11.8,11.8,12.4,10.63,1616650,VIS
05-12-13,12.5,12.2,12.3,12.3,10.54,658690,VIS
06-12-13,12.4,12.2,12.3,12.2,10.45,387740,VIS
09-12-13,12.4,12,12.4,12,10.28,845340,VIS
10-12-13,12,11.8,11.9,11.9,10.2,323830,VIS
11-12-13,11.8,11.4,11.8,11.5,9.85,484100,VIS
12-12-13,11.5,11.3,11.5,11.5,9.85,442450,VIS
13-12-13,11.6,11.4,11.4,11.5,9.85,229010,VIS
16-12-13,11.5,11.3,11.3,11.5,9.85,332310,VIS
17-12-13,12,11.6,11.6,11.9,10.2,456430,VIS
18-12-13,11.9,11.7,11.8,11.8,10.11,142010,VIS
19-12-13,12.1,11.8,11.9,12,10.28,1038180,VIS
20-12-13,12.3,12,12,12,10.28,619550,VIS
23-12-13,12,11.8,12,11.8,10.11,558330,VIS
24-12-13,12,11.8,11.8,11.8,10.11,335420,VIS
25-12-13,12,11.7,11.8,11.8,10.11,308800,VIS
26-12-13,11.9,11.6,11.6,11.7,10.03,443900,VIS
27-12-13,11.9,11.5,11.7,11.6,9.94,255020,VIS
30-12-13,11.5,11.1,11.5,11.3,9.68,633530,VIS
31-12-13,11.4,11.1,11.3,11.3,9.68,336190,VIS
02-01-14,11.7,11.4,11.5,11.6,9.94,1112290,VIS
03-01-14,11.6,11.4,11.5,11.5,9.85,124790,VIS
06-01-14,11.6,11.4,11.4,11.6,9.94,165090,VIS
07-01-14,11.7,11.4,11.6,11.5,9.85,675430,VIS
08-01-14,11.5,11.3,11.5,11.5,9.85,188590,VIS
09-01-14,11.5,11.4,11.4,11.4,9.77,313920,VIS
10-01-14,11.6,11.4,11.5,11.4,9.77,713060,VIS
13-01-14,11.4,10.7,11.4,10.7,9.17,639250,VIS
14-01-14,10.9,10.3,10.7,10.4,8.91,1667520,VIS
15-01-14,10.7,10.3,10.4,10.4,8.91,578300,VIS
16-01-14,10.5,10,10.5,10.2,8.74,966800,VIS
17-01-14,10.3,9.9,10.3,9.9,8.48,829010,VIS
20-01-14,10.1,9.9,9.9,10,8.57,251090,VIS
21-01-14,10.1,9.8,10,10,8.57,475870,VIS
22-01-14,10,9.8,9.9,10,8.57,526470,VIS
23-01-14,10.1,9.9,9.9,10.1,8.66,118130,VIS
24-01-14,10.1,9.9,9.9,10.1,8.66,220520,VIS
27-01-14,10.1,9.9,10,10,8.57,180740,VIS
06-02-14,10.7,10,10.1,10.7,9.17,751280,VIS
07-02-14,10.9,10.5,10.9,10.5,9,530530,VIS
10-02-14,10.7,10.5,10.5,10.7,9.17,585790,VIS
11-02-14,10.9,10.6,10.8,10.6,9.08,845930,VIS
12-02-14,10.8,10.5,10.5,10.7,9.17,664040,VIS
13-02-14,10.9,10.6,10.9,10.7,9.17,504820,VIS
14-02-14,10.9,10.7,10.7,10.8,9.25,852180,VIS
17-02-14,11.4,10.7,10.8,11.4,9.77,1624060,VIS
18-02-14,11.7,11.1,11.4,11.5,9.85,1035670,VIS
19-02-14,11.5,11.2,11.5,11.4,9.77,923640,VIS
20-02-14,11.4,10.7,11.2,10.7,9.17,1797170,VIS
21-02-14,10.7,10.3,10.7,10.5,9,697440,VIS
24-02-14,10.4,9.9,10,10.1,8.66,1303290,VIS
25-02-14,10.3,9.9,10,10.2,8.74,822360,VIS
26-02-14,10.3,10.1,10.1,10.2,8.74,598450,VIS
27-02-14,10.2,9.8,10.1,9.8,8.4,1252880,VIS
28-02-14,10,9.8,9.8,10,8.57,612320,VIS
03-03-14,10,9.6,10,9.6,8.23,604720,VIS
04-03-14,9.6,9.3,9.5,9.6,8.23,364850,VIS
05-03-14,9,9,9,9,7.71,308580,VIS
06-03-14,8.7,8.4,8.4,8.5,7.28,2851510,VIS
07-03-14,9,8.7,8.7,8.9,7.63,992450,VIS
10-03-14,9.5,8.8,8.8,9.2,7.88,1316600,VIS
13-03-14,9.8,9.3,9.3,9.8,8.4,3211030,VIS
14-03-14,10.4,10.2,10.4,10.4,8.91,1899560,VIS
17-03-14,10.9,10.2,10.3,10.9,9.34,1289960,VIS
18-03-14,10.9,10.5,10.7,10.6,9.08,945720,VIS
19-03-14,10.5,10.2,10.4,10.5,9,882370,VIS
20-03-14,10.4,9.9,10.3,10.2,8.74,946240,VIS
21-03-14,10.5,10,10,10.2,8.74,601460,VIS
24-03-14,10.5,10.3,10.4,10.3,8.83,1316950,VIS
25-03-14,11,10.2,10.3,10.6,9.08,1982170,VIS
26-03-14,10.9,10.2,10.5,10.3,8.83,1166930,VIS
27-03-14,10.5,10.1,10.3,10.5,9,382490,VIS
28-03-14,10.7,10.2,10.5,10.3,8.83,642970,VIS
31-03-14,10.5,10.2,10.5,10.2,8.74,354210,VIS
01-04-14,10,9.7,10,9.8,8.4,983320,VIS
02-04-14,9.9,9.3,9.8,9.7,8.31,492010,VIS
03-04-14,10,9.5,9.6,9.8,8.4,261700,VIS
04-04-14,10,9.6,9.8,10,8.57,212930,VIS
07-04-14,10,9.7,9.9,9.9,8.48,216440,VIS
08-04-14,10,9.8,10,10,8.57,132850,VIS
10-04-14,10.4,10,10,10.2,8.74,954760,VIS
11-04-14,10.2,9.9,10.2,10.1,8.66,412930,VIS
14-04-14,10.1,9.8,10.1,9.9,8.48,316580,VIS
15-04-14,9.9,9.5,9.9,9.5,8.14,580210,VIS
16-04-14,9.6,9,9.5,9.2,7.88,414280,VIS
17-04-14,9.6,9.3,9.5,9.4,8.06,294990,VIS
18-04-14,9.4,8.8,9.4,8.8,7.54,544930,VIS
21-04-14,9,8.5,8.6,8.8,7.54,300310,VIS
22-04-14,8.9,8.5,8.6,8.9,7.63,179430,VIS
