date,high,low,open,close,adjust,volume,symbol
15-11-12,12.3,11.8,11.8,12.3,11.14,510,DTL
16-11-12,12.3,12.3,12.3,12.3,11.14,5500,DTL
19-11-12,12.8,11.7,11.7,12.8,11.59,8100,DTL
20-11-12,13.2,12.2,12.2,13,11.77,9110,DTL
21-11-12,13.6,13,13,13.6,12.31,20,DTL
22-11-12,13.2,13,13.2,13,11.77,3100,DTL
23-11-12,13,12.4,12.4,13,11.77,9010,DTL
26-11-12,13,13,13,13,11.77,0,DTL
27-11-12,13.4,13.4,13.4,13.4,12.13,20,DTL
28-11-12,12.8,12.8,12.8,12.8,11.59,1100,DTL
29-11-12,13.2,12.2,12.2,13.2,11.95,9040,DTL
30-11-12,12.6,12.6,12.6,12.6,11.41,5000,DTL
03-12-12,12.6,12.6,12.6,12.6,11.41,6300,DTL
04-12-12,12.6,12.6,12.6,12.6,11.41,0,DTL
05-12-12,12.6,12.6,12.6,12.6,11.41,0,DTL
06-12-12,12.4,12,12.4,12,10.86,4000,DTL
07-12-12,12.2,12,12,12.2,11.04,4010,DTL
10-12-12,12.4,12.4,12.4,12.4,11.23,9000,DTL
11-12-12,12.4,12.4,12.4,12.4,11.23,5000,DTL
12-12-12,12.6,12.6,12.6,12.6,11.41,5000,DTL
13-12-12,13.2,12.6,12.6,13.2,11.95,1660,DTL
14-12-12,12.8,12.8,12.8,12.8,11.59,5000,DTL
17-12-12,12.8,12.8,12.8,12.8,11.59,5000,DTL
18-12-12,12.8,12.8,12.8,12.8,11.59,1000,DTL
19-12-12,12.4,12.4,12.4,12.4,11.23,50,DTL
20-12-12,12.7,12,12.4,12.7,11.5,50010,DTL
21-12-12,12.7,12.7,12.7,12.7,11.5,5000,DTL
24-12-12,12.7,12.2,12.7,12.7,11.5,95020,DTL
25-12-12,12.7,12.3,12.7,12.6,11.41,65000,DTL
26-12-12,12.8,12.2,12.5,12.8,11.59,46760,DTL
27-12-12,12.7,12.5,12.5,12.7,11.5,56000,DTL
28-12-12,12.7,12.7,12.7,12.7,11.5,0,DTL
02-01-13,12.7,12.5,12.7,12.6,11.41,105340,DTL
03-01-13,12.6,12.6,12.6,12.6,11.41,0,DTL
04-01-13,12.9,12.9,12.9,12.9,11.68,10,DTL
07-01-13,12.4,12.4,12.4,12.4,11.23,37010,DTL
08-01-13,12.4,12.4,12.4,12.4,11.23,5990,DTL
09-01-13,12.6,12.6,12.6,12.6,11.41,1310,DTL
10-01-13,12.6,12.6,12.6,12.6,11.41,7000,DTL
11-01-13,12.4,12.4,12.4,12.4,11.23,32000,DTL
14-01-13,13,12.2,12.4,13,11.77,6250,DTL
15-01-13,12.9,12.5,12.9,12.5,11.32,149960,DTL
16-01-13,12.5,12.5,12.5,12.5,11.32,2000,DTL
17-01-13,12.4,12.4,12.4,12.4,11.23,440,DTL
18-01-13,11.8,11.8,11.8,11.8,10.68,10,DTL
21-01-13,11.8,11.8,11.8,11.8,10.68,0,DTL
22-01-13,11.8,11.8,11.8,11.8,10.68,0,DTL
23-01-13,11.2,11.2,11.2,11.2,10.14,100,DTL
24-01-13,11.8,11.8,11.8,11.8,10.68,3000,DTL
25-01-13,11.2,11.2,11.2,11.2,10.14,10,DTL
28-01-13,10.8,10.8,10.8,10.8,9.78,10,DTL
29-01-13,11.3,11.2,11.3,11.2,10.14,2600,DTL
30-01-13,11.5,11.5,11.5,11.5,10.41,55000,DTL
31-01-13,11.5,11.5,11.5,11.5,10.41,2000,DTL
01-02-13,11.5,11.4,11.5,11.4,10.32,10000,DTL
04-02-13,11.4,11.4,11.4,11.4,10.32,0,DTL
05-02-13,11.4,11.4,11.4,11.4,10.32,9480,DTL
06-02-13,11.4,11.4,11.4,11.4,10.32,0,DTL
07-02-13,11.4,11.4,11.4,11.4,10.32,0,DTL
08-02-13,11.5,11.5,11.5,11.5,10.41,43040,DTL
18-02-13,12.3,12.3,12.3,12.3,11.14,10,DTL
19-02-13,12.3,12.3,12.3,12.3,11.14,370,DTL
20-02-13,12.3,12.3,12.3,12.3,11.14,1970,DTL
21-02-13,12.4,12.3,12.4,12.3,11.14,12200,DTL
22-02-13,12.3,12.3,12.3,12.3,11.14,2000,DTL
25-02-13,12.3,12.3,12.3,12.3,11.14,0,DTL
26-02-13,13,12.3,12.3,13,11.77,10010,DTL
27-02-13,12.5,12.5,12.5,12.5,11.32,5000,DTL
28-02-13,13,12.5,12.5,13,11.77,15200,DTL
01-03-13,13,12.8,12.8,13,11.77,16000,DTL
04-03-13,13,12.3,13,12.3,11.14,27000,DTL
05-03-13,12.3,12.3,12.3,12.3,11.14,0,DTL
06-03-13,12.6,12.6,12.6,12.6,11.41,7000,DTL
07-03-13,12.6,12.5,12.6,12.5,11.32,20000,DTL
08-03-13,12.5,12.5,12.5,12.5,11.32,0,DTL
11-03-13,12.5,12.5,12.5,12.5,11.32,10000,DTL
12-03-13,12.4,12.4,12.4,12.4,11.23,32000,DTL
13-03-13,12.6,12.4,12.6,12.4,11.23,11260,DTL
14-03-13,12.6,12.6,12.6,12.6,11.41,6200,DTL
15-03-13,12.8,12.6,12.6,12.8,11.59,15000,DTL
18-03-13,13,12.6,13,12.6,11.41,2120,DTL
19-03-13,13,12.6,13,12.6,11.41,1020,DTL
20-03-13,12.8,12.6,12.6,12.6,11.41,5500,DTL
21-03-13,13,13,13,13,11.77,12230,DTL
22-03-13,12.5,12.5,12.5,12.5,11.32,50,DTL
25-03-13,12.6,12.6,12.6,12.6,11.41,5000,DTL
26-03-13,12.7,12.6,12.7,12.6,11.41,30010,DTL
27-03-13,12.8,12.6,12.8,12.7,11.5,10100,DTL
28-03-13,13.2,13.2,13.2,13.2,11.95,20,DTL
29-03-13,14.1,12.3,14.1,12.3,11.14,5020,DTL
01-04-13,12.3,12.3,12.3,12.3,11.14,5000,DTL
02-04-13,13.1,12.1,13.1,12.1,10.95,5020,DTL
03-04-13,12.1,12.1,12.1,12.1,10.95,12040,DTL
04-04-13,12.1,12.1,12.1,12.1,10.95,5000,DTL
05-04-13,12.1,12,12,12.1,10.95,19040,DTL
08-04-13,12.1,12.1,12.1,12.1,10.95,0,DTL
09-04-13,12.1,12.1,12.1,12.1,10.95,9000,DTL
10-04-13,12.5,12.4,12.4,12.5,11.32,10000,DTL
11-04-13,12.6,12.5,12.5,12.6,11.41,10100,DTL
12-04-13,12.6,12.5,12.5,12.5,11.32,23010,DTL
15-04-13,12.5,12.5,12.5,12.5,11.32,900,DTL
16-04-13,11.7,11.7,11.7,11.7,10.59,10,DTL
17-04-13,12,12,12,12,10.86,11000,DTL
18-04-13,12.4,12,12,12,10.86,16000,DTL
22-04-13,12,12,12,12,10.86,5000,DTL
23-04-13,12.2,12,12.2,12,10.86,5500,DTL
24-04-13,12.2,12.2,12.2,12.2,11.04,2000,DTL
25-04-13,12.2,12.2,12.2,12.2,11.04,0,DTL
26-04-13,12.8,12.2,12.2,12.8,11.59,6110,DTL
02-05-13,13.6,12.2,13.6,12.2,11.04,20,DTL
03-05-13,12.8,12.7,12.8,12.7,11.5,583260,DTL
06-05-13,13.5,12.8,12.8,13.5,12.22,830,DTL
07-05-13,14.3,13,13.5,13,11.77,490,DTL
